City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,1.81,75,40,6.69,AR,1695785487
1,puerto natales,-51.7236,-72.4875,2.85,97,100,1.09,CL,1695785557
2,port-aux-francais,-49.35,70.2167,1.75,79,56,18.07,TF,1695785557
3,waitangi,-43.9535,-176.5597,14.34,91,20,1.34,NZ,1695785558
4,blackmans bay,-43.0167,147.3167,18.07,44,88,4.14,AU,1695785558
5,qaqortoq,60.7167,-46.0333,2.37,58,4,2.11,GL,1695785558
6,kidal,18.4411,1.4078,31.54,12,0,3.88,ML,1695785559
7,tsetserleg,47.475,101.4542,5.38,29,83,2.2,MN,1695785559
8,grytviken,-54.2811,-36.5092,-2.34,79,36,4.5,GS,1695785559
9,dergachi,51.2328,48.7659,14.58,62,19,3.04,RU,1695785559
10,badger,64.8,-147.5333,5.2,75,100,3.09,US,1695785560
11,atafu village,-8.5421,-172.5159,28.27,72,45,0.73,TK,1695785560
12,machico,32.7,-16.7667,22.62,80,20,1.03,PT,1695785560
13,lompoc,34.6391,-120.4579,19.41,83,0,14.31,US,1695785349
14,avarua,-21.2078,-159.775,24.03,69,40,7.2,CK,1695785560
15,bredasdorp,-34.5322,20.0403,9.87,88,0,1.54,ZA,1695785561
16,longyearbyen,78.2186,15.6401,-9.09,79,20,4.63,SJ,1695785561
17,papatowai,-46.5619,169.4708,8.34,89,100,4.66,NZ,1695785561
18,hamilton,39.1834,-84.5333,18.82,94,100,7.2,US,1695785430
19,iqaluit,63.7506,-68.5145,5.85,70,100,10.29,CA,1695785562
20,suzhou,31.3114,120.6181,29.19,66,31,1.21,CN,1695785562
21,puerto ayora,-0.7393,-90.3518,24.19,95,73,3.58,EC,1695785388
22,olonkinbyen,70.9221,-8.7187,3.14,97,100,9.77,SJ,1695785562
23,mount pearl,47.5166,-52.7813,8.41,83,100,6.69,CA,1695785563
24,invercargill,-46.4,168.35,11.12,83,100,3.58,NZ,1695785487
25,krasnoarmeyskoye,52.7182,50.0322,13.2,67,42,1.65,RU,1695785563
26,west island,-12.1568,96.8225,26.99,83,40,8.75,CC,1695785563
27,mazatlan,23.2167,-106.4167,27.73,75,75,3.6,MX,1695785352
28,caibarien,22.5206,-79.4669,23.62,87,100,4.79,CU,1695785564
29,ribeira grande,38.5167,-28.7,18.76,86,99,1.79,PT,1695785564
30,hermanus,-34.4187,19.2345,11.63,79,1,5.56,ZA,1695785564
31,san patricio,28.017,-97.5169,29.35,66,43,3.31,US,1695785565
32,talnakh,69.4865,88.3972,0.67,84,98,7.04,RU,1695785565
33,bethel,41.3712,-73.414,11.47,83,0,0.0,US,1695785454
34,pisco,-13.7,-76.2167,18.9,82,4,4.12,PE,1695785565
35,college,64.8569,-147.8028,5.25,73,75,3.09,US,1695785566
36,sohbatpur,28.5202,68.5434,34.91,26,0,0.57,PK,1695785566
37,tiksi,71.6872,128.8694,0.14,60,39,11.11,RU,1695785566
38,antofagasta,-23.65,-70.4,15.6,77,41,4.64,CL,1695785566
